"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"OR",20210307,4850,2769,3791,76447,36783,1404,2534,,78492,40965,37828,157285,41,58,46,211,1475,610,,47,20,183,1531,2296,220,311,273,1765,5410,1539,,160,146,1585,5270,8714,,,,,,,,,,,,
"OR",20210303,4839,2764,3778,76105,36691,1400,2523,,78134,40865,37288,156287,40,58,45,209,1451,592,,47,19,181,1508,2252,220,310,271,1766,5382,1534,,160,147,1585,5249,8682,,,,,,,,,,,,
"OR",20210228,4797,2735,3750,75252,36385,1377,2482,,77215,40545,37837,155597,40,56,45,206,1420,582,,47,18,177,1475,2208,219,306,268,1748,5306,1516,,159,145,1565,5174,8570,,,,,,,,,,,,
"OR",20210224,4773,2725,3723,74809,36225,1370,2463,,76724,40378,36960,154062,39,56,45,206,1411,577,,47,18,176,1468,2194,218,306,267,1740,5278,1510,,156,144,1559,5147,8528,,,,,,,,,,,,
"OR",20210221,4711,2651,3655,73392,35849,1350,2428,,75342,39986,37490,152818,39,56,44,200,1383,572,,47,18,169,1439,2155,216,303,264,1715,5181,1507,,152,142,1537,5043,8403,,,,,,,,,,,,
"OR",20210217,4701,2641,3641,73116,35779,1346,2416,,75042,39910,36305,151257,39,56,44,200,1379,564,,47,17,169,1436,2143,216,302,260,1712,5157,1477,,152,141,1533,5021,8346,,,,,,,,,,,,
"OR",20210214,4659,2615,3607,72144,35470,1325,2391,,74014,39602,36665,150281,38,56,44,196,1345,596,,46,17,166,1400,2137,210,299,258,1677,5077,1431,,148,137,1484,4935,8185,,,,,,,,,,,,
"OR",20210210,4628,2595,3586,71463,35204,1313,2374,,73255,39360,35860,148475,37,56,44,194,1312,538,,45,17,164,1360,2044,210,297,257,1644,5030,1413,,146,137,1468,4877,8107,,,,,,,,,,,,
"OR",20210207,4557,2563,3528,70144,34661,1284,2327,,71766,38875,36481,147122,37,56,43,190,1287,546,,45,17,160,1329,2023,207,291,254,1644,4931,1396,,146,136,1439,4792,7971,,,,,,,,,,,,
"OR",20210203,4522,2542,3472,69214,34324,1269,2308,,70795,38542,35268,144605,37,56,43,190,1276,525,,44,17,160,1316,1991,206,283,250,1628,4887,1381,,147,135,1425,4744,7896,,,,,,,,,,,,
"OR",20210131,4429,2510,3388,67591,33679,1252,2251,,69066,37910,35440,142416,37,57,42,185,1234,538,,42,17,157,1277,1957,204,281,245,1596,4766,1376,,137,134,1396,4646,7738,,,,,,,,,,,,
"OR",20210127,4372,2487,3345,66682,33288,1240,2227,,68039,37575,34449,140063,36,56,42,182,1221,521,,41,17,154,1267,1924,204,279,244,1581,4704,1379,,137,134,1383,4587,7664,,,,,,,,,,,,
"OR",20210124,4294,2457,3294,64833,32523,1224,2176,,66268,36845,35055,138168,35,55,40,177,1182,521,,41,17,149,1228,1880,201,275,237,1549,4571,1349,,135,131,1355,4457,7469,,,,,,,,,,,,
"OR",20210120,4262,2428,3262,63967,32152,1219,2151,,65340,36444,33358,135142,33,55,39,171,1158,503,,38,17,145,1204,1832,195,273,235,1531,4523,1333,,133,131,1339,4409,7387,,,,,,,,,,,,
