"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"ID",20210307,1219,2054,1008,99914,13191,409,,,73958,17344,81629,172931,35,17,9,186,1682,11,,,,41,1761,1879,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210303,1211,2037,1005,99480,13153,409,,,73544,17288,81456,172288,35,17,9,186,1682,8,,,,41,1761,1876,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210228,1202,2028,995,98727,13091,405,,,72960,17223,80957,171140,35,17,9,184,1664,12,,,,41,1741,1860,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210224,1198,2026,992,98199,13027,404,,,72523,17175,80591,170289,35,17,9,182,1652,6,,,,39,1729,1840,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210221,1185,2024,989,97446,12973,403,,,71901,17096,80153,169150,35,17,9,181,1639,6,,,,38,1716,1826,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210217,1167,2014,984,96917,12928,389,,,71387,17051,79915,168353,35,16,9,180,1630,7,,,,37,1708,1817,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210214,1160,2002,978,96322,12886,387,,,70914,16992,79577,167483,35,16,9,178,1612,13,,,,36,1689,1803,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210210,1153,1989,972,95660,12825,384,,,70332,16907,79314,166553,35,16,9,177,1605,9,,,,36,1680,1791,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210207,1142,1982,963,94748,12741,381,,,69537,16802,78870,165209,34,15,9,170,1575,22,,,,36,1644,1767,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210203,1144,1977,955,93988,12652,378,,,68910,16714,78539,164163,34,15,9,169,1565,14,,,,36,1634,1748,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210131,1133,1957,946,93054,12503,374,,,68166,16575,77942,162683,33,15,9,167,1545,13,,,,37,1611,1725,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210127,1120,1946,935,91944,12393,370,,,67302,16438,77472,161212,33,15,9,167,1535,12,,,,37,1601,1714,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210124,1102,1937,931,90426,12252,364,,,66035,16231,77240,159506,33,15,9,165,1490,14,,,,36,1557,1669,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210120,1070,1899,913,88596,12087,357,,,64534,15973,77081,157588,32,14,8,162,1466,7,,,,36,1532,1635,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210117,1051,1885,896,86875,11937,350,,,63189,15768,76597,155554,31,13,8,157,1441,9,,,,34,1506,1607,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210113,1034,1848,884,84590,11740,331,,,61685,15498,75181,152364,30,13,8,152,1405,7,,,,31,1469,1564,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210110,1012,1818,865,82705,11547,324,,,60261,15292,74114,149667,29,13,8,149,1360,25,,,,26,1428,1534,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210106,986,1790,842,80468,11314,316,,,58658,15024,72424,146106,29,13,8,145,1322,21,,,,23,1390,1488,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20210103,957,1765,11065,77979,11065,307,,,56846,14739,70922,142507,27,12,8,144,1276,28,,,,23,1347,1448,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201230,944,1752,817,76069,10893,300,,,55441,14534,69889,139864,27,12,8,142,1250,11,,,,23,1319,1403,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201227,906,1689,792,73597,10687,290,,,53579,14286,68350,136215,24,11,8,139,1202,13,,,,21,1273,1354,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201223,880,1673,785,72078,10528,276,,,52383,14127,67475,133985,24,11,8,137,1180,7,,,,21,1250,1324,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201220,832,1630,757,69424,10254,274,,,50428,13836,65696,129960,21,11,8,134,1130,16,,,,19,1202,1280,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201216,802,1587,730,66850,9925,273,0,,48591,13554,63307,125452,21,11,8,128,1082,21,,,,19,1150,1231,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201213,766,1556,720,64435,9668,263,0,,46947,13280,60952,121179,20,9,8,121,1025,29,,,,18,1090,1175,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201209,723,1455,694,61430,9315,258,0,,44812,12980,58410,116203,18,9,8,115,970,18,,,,18,1031,1103,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201206,698,1390,677,58632,8943,247,0,,42979,12650,54880,110510,18,9,7,111,908,16,,,,16,967,1035,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201202,673,1353,653,55855,8566,235,0,,41108,12293,51332,104734,18,9,7,109,874,8,,,,16,931,991,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201129,650,1300,637,53327,8241,231,0,,39664,12042,48777,100484,17,9,7,104,797,19,,,,16,850,920,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201125,639,1297,620,51916,7993,225,0,,38298,11778,46426,96503,17,9,7,103,783,9,,,,16,837,895,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201122,610,1238,604,49479,7689,215,0,,36487,11484,43681,91653,16,9,7,98,737,14,,,,16,787,849,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201118,578,1163,578,46861,7367,204,0,,34539,11129,40766,86435,14,9,6,94,710,8,,,,15,760,812,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201115,552,1105,558,44692,7100,200,0,,32804,10830,38610,82245,13,8,5,90,649,20,,,,14,698,759,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201111,526,1067,541,41984,6773,183,0,,30854,10444,35822,77121,13,8,5,86,622,25,,,,14,668,733,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201108,505,997,530,39917,6513,179,0,,29395,10140,33425,72961,13,6,5,85,586,15,,,,14,633,686,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201104,474,966,505,37241,6225,164,0,,27482,9756,31075,68314,13,6,5,83,577,4,,,,14,622,664,,,,,,,,,,,,,,,,,,,,,,,,
"ID",20201101,452,947,491,35386,6023,160,0,,26113,9444,29530,65088,13,5,5,81,544,5,,,,14,588,630,,,,,,,,,,,,,,,,,,,,,,,,
