"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"OH",20210307,13511,1055,101785,579544,53199,693,23359,,618476,30674,329321,978471,16,139,2157,302,17199,155,,26,3,129,15026,17656,65,631,9272,1710,42785,6386,,1691,55,1290,35458,50881,,,,,,,,,,,,
"OH",20210303,13398,1050,101248,575079,52937,690,23211,,613159,30440,329006,972605,15,134,2068,289,16460,440,,25,3,125,14375,17189,65,629,9231,1701,42405,6507,,1686,54,1289,35203,50613,,,,,,,,,,,,
"OH",20210228,13314,1049,100684,570998,52803,687,23091,,608254,30200,328968,967422,14,118,1943,321,15132,1844,,371,6,187,13835,17297,65,620,9168,1687,41885,6707,,1678,54,1296,34871,50279,,,,,,,,,,,,
"OH",20210224,13183,1040,99923,565866,52459,691,22916,,602433,29916,327646,959995,14,118,1905,312,14813,1920,,369,5,188,13584,17045,64,614,9071,1672,41412,6704,,1671,54,1284,34492,49788,,,,,,,,,,,,
"OH",20210221,13083,1036,99300,561601,52279,684,22805,,597585,29723,326459,953767,13,118,1889,303,14608,1905,,363,5,187,13390,16816,64,614,8990,1663,41029,6680,,1665,52,1275,34183,49372,,,,,,,,,,,,
"OH",20210217,12971,1023,98462,555486,51908,677,22586,,590834,29459,324814,945107,13,117,1856,297,14272,1944,,359,5,185,13086,16513,64,607,8907,1656,40580,6652,,1654,51,1272,33803,48888,,,,,,,,,,,,
"OH",20210214,12898,1015,97903,551296,51696,672,22448,,586408,29272,323670,939350,13,116,1857,296,14105,1945,,352,6,185,12926,16346,63,605,8854,1647,40289,6620,,1646,51,1266,33547,48556,,,,,,,,,,,,
"OH",20210210,12758,1003,96827,543623,51246,665,22243,,577851,28929,321851,928631,8,76,1390,225,10138,1493,,227,5,146,9221,11856,61,598,8769,1633,39765,6682,,1647,52,1263,33146,48080,,,,,,,,,,,,
"OH",20210207,12662,998,95873,537482,50928,654,22032,,571360,28646,320211,920217,8,74,1376,221,9980,1458,,224,5,143,9063,11659,60,596,8685,1616,39309,6613,,1634,51,1242,32728,47538,,,,,,,,,,,,
"OH",20210203,12526,989,94558,528630,50298,649,21738,,561765,28226,316736,906727,8,73,1362,215,9804,1411,,221,5,142,8882,11430,59,588,8586,1593,38736,6544,,1624,51,1225,32208,46873,,,,,,,,,,,,
"OH",20210131,12378,983,93394,520420,49870,646,21480,,552837,27873,315082,895792,9,69,1341,208,9594,1373,,218,5,137,8685,11175,58,582,8471,1575,38153,6487,,1613,52,1209,31715,46215,,,,,,,,,,,,
"OH",20210127,12142,961,91733,509117,48976,641,21106,,540342,27330,310612,878284,8,69,1308,204,9369,1358,,214,4,133,8503,10931,57,572,8372,1563,37520,6447,,1584,52,1198,31195,45530,,,,,,,,,,,,
"OH",20210124,11975,949,90208,499074,48445,627,20765,,529686,26913,307723,864322,8,69,1292,202,9186,1323,,210,4,130,8329,10711,57,562,8254,1545,36883,6355,,1566,51,1185,30632,44783,,,,,,,,,,,,
