"State","Date","Cases_Asian","Cases_AIAN","Cases_Black","Cases_White","Cases_Other","Cases_NHPI","Cases_Multiracial","Cases_LatinX","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Hispanic","Cases_Ethnicity_Unknown","Cases_Total","Deaths_AIAN","Deaths_Asian","Deaths_Black","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Deaths_LatinX","Deaths_Multiracial","Deaths_NHPI","Deaths_Other","Deaths_White","Deaths_Total","Hospitalizations_AIAN","Hospitalizations_Asian","Hospitalizations_Black","Hospitalizations_Ethnicity_Hispanic","Hospitalizations_Ethnicity_NonHispanic","Hospitalizations_Ethnicity_Unknown","Hospitalizations_LatinX","Hospitalizations_Multiracial","Hospitalizations_NHPI","Hospitalizations_Other","Hospitalizations_White","Hospitalizations_Total","Tests_AIAN","Tests_Asian","Tests_Black","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown","Tests_LatinX","Tests_Multiracial","Tests_NHPI","Tests_Other","Tests_White","Tests_Total"
"AL",20210307,2273,,82790,160347,38000,,,,167064,12312,320443,499819,,24,2223,137,6083,3928,,,,300,4730,10148,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210303,2248,,82171,159154,37912,,,,165460,12245,319449,497154,,24,2193,135,6002,3892,,,,298,4674,10029,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210228,2237,,81782,158420,37809,,,,164533,12206,316513,493252,,24,2168,134,5938,3857,,,,294,4625,9929,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210224,2224,,81137,157043,37660,,,,162952,12129,315139,490220,,23,2134,130,5835,3779,,,,287,4531,9744,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210221,2172,,79834,154388,37418,,,,159737,12010,315096,486843,,22,2044,130,5589,3873,,,,277,4343,9592,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210217,2172,,79834,154388,37418,,,,159737,12010,311420,483167,,22,2044,130,5589,3627,,,,277,4343,9346,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210214,2160,,79442,153486,37321,,,,158684,11968,310279,480931,,22,2022,130,5528,3584,,,,276,4297,9242,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210210,2129,,78493,151607,37061,,,,156427,11881,307759,476067,,19,2020,126,5339,3423,,,,264,4241,8888,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210207,2077,,77839,150262,36879,,,,154916,11837,305670,472423,,19,1961,125,5144,3246,,,,248,4076,8515,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210203,2049,,76749,147937,36472,,,,152473,11706,300877,465056,,18,1854,124,4975,3104,,,,238,3839,8203,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210131,1993,,75906,146087,36159,,,,150616,11667,297356,459639,,18,1771,122,4721,2845,,,,216,3641,7688,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210127,1917,,74153,142768,35710,,,,147347,11536,290203,449086,,17,1716,118,4497,2557,,,,193,3420,7172,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210124,1887,,72793,140029,35296,,,,144747,11392,285031,441170,,17,1646,112,4242,2306,,,,182,3182,6660,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210120,1807,,70768,136116,34736,,,,141332,11249,277074,429655,,16,1595,112,4059,2112,,,,164,3022,6283,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210117,1747,,69697,133816,34311,,,,139563,11157,271878,422598,,16,1570,109,3971,2040,,,,159,2952,6120,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210113,1701,,67814,129968,33727,,,,136053,10959,263983,410995,,16,1517,106,3802,1852,,,,154,2801,5760,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210110,1639,,66570,127293,33157,,,,133719,10859,257322,401900,,16,1459,99,3624,1611,,,,144,2633,5334,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210106,1572,,63904,121890,32337,,,,129041,10666,244477,384184,,15,1395,95,3459,1440,,,,136,2495,4994,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20210103,1499,,31719,117462,31719,,,,125167,10523,236244,371934,,15,1374,94,3395,1384,,,,131,2451,4873,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20201230,1378,,59617,111969,30929,,,,121589,10367,224864,356820,,15,1352,94,3339,1341,,,,128,2404,4774,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20201227,1317,,58238,108236,30352,,,,118830,10257,216541,345628,,15,1334,94,3296,1301,,,,127,2373,4691,,,,,,,,,,,,,,,,,,,,,,,,
"AL",20201223,1276,,56662,104175,29702,,,,115822,10127,208620,334569,,15,1311,94,3243,1250,,,,126,2325,4587,,,,,,,,,,,,,,,,,,,,,,,,
